Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-06-18,131.14,136.33,130.69,135.58,294335054,130.98,133.73,129.58,288504444.0,130.65,126.02759999999998,3.765328670912936,290491882.4,359465699.0,18326106.820671685,129.308,125.08689999999999,3.754420061740255,131.916,127.5278,3.6560402076562686,127.66400000000002,122.78800000000001,3.1408963688725517,7.5918254767633755,-39573266.09052068,7.359670016103465,7.613558459890413,7.338168237801682,84.1406935449222,44.30738729757203,80.5755713455267,86.45142866307478,88.15336451180966
2024-06-20,139.8,140.76,129.52,130.78,517768425,135.58,136.33,130.69,294335054.0,131.76600000000002,126.86160000000002,2.2802368298049576,334126567.2,358402363.5,104157592.40784834,132.656,127.2298,4.224385162363575,134.692,129.3589,4.1167547898798915,129.054,123.9932,1.35058505840865,7.459231486870678,-24096162.195660293,7.992743729526879,8.120461523804167,7.3600650529341465,73.53902080562386,52.967656719486705,84.89629206214687,88.20435981963477,84.48887726545665
2024-06-21,127.12,130.63,124.3,126.57,655484664,130.78,140.76,129.52,517768425.0,131.158,127.4188,3.213241354146777,413082592.6,357481210.9,165910501.73979276,132.20200000000003,127.537,4.75214898756316,134.858,129.8632,3.8801121117822164,128.482,124.5912,2.483630407286224,6.953034928828075,-1355908.7490615845,7.44237883304028,7.6616935596095885,6.899903882143519,65.71776249376772,57.36804370903807,62.85135459752344,66.89181131001743,70.42324142062917
2024-06-24,123.24,124.46,118.04,118.11,476060866,126.57,130.63,124.3,655484664.0,128.404,127.14099999999999,6.578489948308742,446430690.6,363848717.5,156320476.48645627,130.858,127.88399999999999,6.256813885676783,133.182,130.14000000000001,6.1282599487945335,126.426,124.59299999999999,5.304411371678941,5.838020626970362,2898865.1018695235,6.633112658039892,6.748600405163799,5.987686389136925,53.42208371010118,50.711073217603754,57.897143380586115,57.740445924257656,57.961282467729
2024-06-25,121.2,126.5,119.32,126.09,425787456,118.11,124.46,118.04,476060866.0,127.426,127.571,6.462246513403774,473887293.0,375011198.1,131776784.91357942,128.5,127.96700000000001,7.374306747077865,131.73600000000002,130.48,6.784477135343536,124.374,124.824,5.7454573360174725,5.503612601975334,2382212.1144298315,5.768905410424495,6.111244593930948,5.302124507614366,60.86081101799302,48.99551332111618,55.42350020882125,59.70340218014874,59.53794236444022
2024-06-26,126.13,128.12,122.6,126.4,362975918,126.09,126.5,119.32,425787456.0,125.59,128.12,4.603069627976455,487615465.8,389053674.1,110204919.46934958,127.498,128.403,7.265481401806649,130.094,131.00500000000002,6.375859157791936,122.756,125.21,4.533396077996836,5.202283264970944,-2831025.8438898325,5.401599845281709,5.665569211622099,4.954384050009139,61.12057549231196,46.86240258610074,59.88413962285981,61.24299309469145,63.33295535213787
2024-06-27,124.1,126.41,122.92,123.99,252571693,126.4,128.12,122.6,362975918.0,124.23200000000001,127.999,3.5761739331301294,434576119.4,384351343.3,149039432.66114885,124.35799999999999,128.507,2.348301513860324,127.224,130.958,2.3038077176708014,121.43599999999999,125.245,2.6348586299832375,4.72261156668246,-15312854.536328435,4.897028537954796,5.121072122888336,4.649778633789879,57.903121808687466,43.29444096146668,57.339764258201114,58.69384003262354,63.69075601485926
2024-06-28,124.58,127.71,122.75,123.54,315516740,123.99,126.41,122.92,252571693.0,123.626,127.39199999999998,3.3291335209029227,366582534.6,389832563.6,88190026.11956392,123.85,128.026,1.8157918382894984,126.64000000000001,130.749,1.4283031891022304,121.126,124.80400000000002,2.281091843832064,4.258461982197687,-20083926.887604,4.48265980396819,4.735722367177672,4.344964064389373,57.29661625326266,45.826885710082884,57.79637648625199,60.055072538724765,63.33715596560475
2024-07-01,123.47,124.84,118.83,124.3,284885534,123.54,127.71,122.75,315516740.0,124.864,126.63400000000001,1.293959041082581,328347468.2,387389079.4,67987528.59113869,123.896,127.377,1.7993137580752137,126.71600000000001,129.949,1.2863630902663454,121.28400000000002,123.85499999999999,2.0271235778800394,3.9046852966609293,-25943293.71477872,4.02154332656653,4.159136669712709,3.755197060220908,58.09494762611769,44.778853737402784,56.29576574871828,55.691611266761015,55.663135323998965
2024-07-02,121.13,123.41,121.03,122.67,218373969,124.3,124.84,118.83,284885534.0,124.17999999999999,125.803,1.3846118589696652,286864770.8,380376031.9,55867621.57469212,123.88199999999999,126.19099999999999,1.825614964881359,126.098,128.917,1.9743530585990976,121.626,123.0,1.736326582183532,3.457312839129841,-35360153.85752547,3.434065190493925,3.5498193255908035,3.41998776276985,55.690253562388705,42.50574816612996,53.16213916658266,53.60183374392539,58.688360730499085
